molecule_smi,active
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,1.0
C#CC1(O)CCC2C3=CCc4cc(O)ccc4C3CCC21C,1.0
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,1.0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,1.0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,1.0
C#CCC1CC(C)(C)C=C(C(=O)OC)C1=O,1.0
C#CCO,1.0
C#CCOc1ccc2c3c(c(=O)oc2c1)CCCC3,1.0
C(CCOCC1CO1)COCC1CO1,1.0
C1=Cc2cccc3cccc1c23,1.0
C=C(C(=O)c1ccccc1)C(C(=C)C(=O)c1ccccc1)c1ccc(OC)cc1,1.0
C=C(C(=O)c1ccccc1)C(C)C(=C)C(=O)c1ccccc1,1.0
C=C(C(=O)c1ccccc1)C(C)CC(=O)c1ccccc1,1.0
C=C(C(=O)c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1.0
C=C(C(=O)c1ccccc1)C(c1ccccc1)C(C)C(=O)c1ccccc1,1.0
C=C(C)C(=O)OC1CC(C)=CC(=O)C=C(C)C(O)C2OC(=O)C(=C)C12,1.0
C=C(C)C(=O)OCC(C)C,1.0
C=C(C)C(=O)OCCCCCC,1.0
C=C(C)C(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O,1.0
C=C(C)C(Cc1c(OC)ccc(C(=O)C=Cc2ccc(O)cc2)c1O)OO,1.0
C=C(C)C1(O)OC(=O)C=C1OC,1.0
C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=Cc1ccccc1,1.0
C=C(C)C1CC=C(C)C(=O)C1,1.0
C=C(C)C1CC=C(C)C(=O)C1=COC1C=C(C)C(=O)O1,1.0
C=C(C)C1CC=C(C)C(OC(C)=O)C1,1.0
C=C(C)C1CC=C(C)CC1,1.0
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)C(C=O)C(O)C(C)(C)C5CCC43C)C12,1.0
C=C(C)C1CCC2(C(=O)OC)CCC3(C)C(CCC4C5(C)CC(=COC6C=C(C)C(=O)O6)C(=O)C(C)(C)C5CCC43C)C12,1.0
C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CC(=COC6C=C(C)C(=O)O6)C(=O)C(C)(C)C5CCC43C)C12,1.0
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,1.0
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,1.0
C=C(C)COc1ccc2c(C)c(C)c(=O)oc2c1OCC(=C)C,1.0
C=C(C)COc1ccc2c(C)c(CC(=O)OC)c(=O)oc2c1C,1.0
C=C(C)COc1ccc2c(CC)cc(=O)oc2c1,1.0
C=C(C)COc1ccc2c3c(c(=O)oc2c1OCC(=C)C)CCC3,1.0
C=C(C=O)CC1CC(O)C2(C)OC3CC4OC5CC6(C)OC7(C)CCC8OC9CC%10(C)OC%11C(C)=CC(=O)OC%11CC%10OC9CC(C)C8OC7CC6OC5(C)CC5OC5C4OC3CC2O1,1.0
C=C(CCC(=O)c1ccccc1)C(=O)c1ccccc1,1.0
C=C(CCC(C)C1CCC2C3C(=O)C=C4CC(O)CCC4(COC(C)=O)C3CCC12C)C(C)C,0.5
C=C(CCC(O)C(C)(C)O)C1CCC2(C)C1CCC1C3(C)CCC(=O)C(C)(C)C3CCC12C,1.0
C=C(c1ccc(O)cc1)c1ccc(O)cc1,1.0
C=C1C(=O)C23C(O)C1CCC2C12CCCC(C)(COC(C)=O)C1C(O)C3(O)OC2,1.0
C=C1C(=O)C23C(O)CC4C(C)(C)CCC(O)C4(C)C2CC(O)C1C3O,1.0
C=C1C(=O)C23C(O)CC4C(C)(C)CCC(O)C4(C)C2CCC1C3O,1.0
