name,mode,affinity_kcal_mol,dist_lb,dist_ub
gen_mol1000,1.0,-6.347,0.0,0.0
gen_mol1000,2.0,-6.27,1.412,2.98
gen_mol1000,3.0,-6.143,1.974,9.539
gen_mol1000,4.0,-6.023,4.337,9.18
gen_mol1000,5.0,-5.999,2.028,9.326
gen_mol1000,6.0,-5.964,5.939,8.5
gen_mol1000,7.0,-5.805,2.765,9.301
gen_mol1000,8.0,-5.61,3.834,9.199
gen_mol1000,9.0,-5.57,2.026,9.498
gen_mol1001,1.0,-6.046,0.0,0.0
gen_mol1001,2.0,-5.906,1.773,4.561
gen_mol1001,3.0,-5.824,2.243,3.57
gen_mol1001,4.0,-5.755,5.48,10.21
gen_mol1001,5.0,-5.749,4.864,8.671
gen_mol1001,6.0,-5.7,3.712,7.419
gen_mol1001,7.0,-5.631,9.201,11.37
gen_mol1001,8.0,-5.593,3.119,3.938
gen_mol1001,9.0,-5.478,3.043,7.034
gen_mol1002,1.0,-6.349,0.0,0.0
gen_mol1002,2.0,-6.183,10.3,11.5
gen_mol1002,3.0,-6.168,12.46,14.56
gen_mol1002,4.0,-6.126,12.61,15.71
gen_mol1002,5.0,-6.117,13.88,15.81
gen_mol1002,6.0,-6.006,8.949,11.17
gen_mol1002,7.0,-5.865,13.88,15.9
gen_mol1002,8.0,-5.864,13.07,15.15
gen_mol1002,9.0,-5.848,14.48,17.21
gen_mol1003,1.0,-6.34,0.0,0.0
gen_mol1003,2.0,-6.337,2.111,7.149
gen_mol1003,3.0,-6.284,1.79,7.327
gen_mol1003,4.0,-6.066,1.661,2.456
gen_mol1003,5.0,-6.056,4.89,9.075
gen_mol1003,6.0,-6.029,1.99,6.738
gen_mol1003,7.0,-5.991,2.049,2.961
gen_mol1003,8.0,-5.99,2.346,6.763
gen_mol1003,9.0,-5.985,2.185,6.577
gen_mol1004,1.0,-6.097,0.0,0.0
gen_mol1004,2.0,-5.659,4.75,7.179
gen_mol1004,3.0,-5.548,0.8678,1.906
gen_mol1004,4.0,-5.384,1.941,2.629
gen_mol1004,5.0,-5.37,3.592,7.513
gen_mol1004,6.0,-5.309,1.125,3.596
gen_mol1004,7.0,-5.29,1.974,7.22
gen_mol1004,8.0,-5.214,2.077,7.31
gen_mol1004,9.0,-5.2,3.09,5.445
gen_mol1005,1.0,-7.049,0.0,0.0
gen_mol1005,2.0,-6.897,0.9281,2.008
gen_mol1005,3.0,-6.853,1.519,8.859
gen_mol1005,4.0,-6.751,1.628,2.092
gen_mol1005,5.0,-6.685,1.588,9.148
gen_mol1005,6.0,-6.607,1.541,8.942
gen_mol1005,7.0,-6.569,2.199,9.129
gen_mol1005,8.0,-6.398,1.646,9.055
gen_mol1005,9.0,-6.255,1.171,9.031
gen_mol1006,1.0,-5.825,0.0,0.0
gen_mol1006,2.0,-5.515,4.07,6.695
gen_mol1006,3.0,-5.467,0.8205,1.348
gen_mol1006,4.0,-5.304,2.251,7.019
gen_mol1006,5.0,-5.243,2.564,7.397
gen_mol1006,6.0,-5.211,3.318,6.033
gen_mol1006,7.0,-5.207,1.385,2.379
gen_mol1006,8.0,-5.171,3.322,7.35
gen_mol1006,9.0,-5.166,4.027,7.782
gen_mol1007,1.0,-5.657,0.0,0.0
gen_mol1007,2.0,-5.419,3.932,6.402
gen_mol1007,3.0,-5.3,2.313,4.248
gen_mol1007,4.0,-5.213,2.252,3.958
gen_mol1007,5.0,-5.15,4.182,7.59
gen_mol1007,6.0,-5.096,2.784,6.704
gen_mol1007,7.0,-5.071,2.358,6.299
gen_mol1007,8.0,-5.057,2.27,4.161
gen_mol1007,9.0,-5.023,2.138,5.271
gen_mol1008,1.0,-5.536,0.0,0.0
gen_mol1008,2.0,-5.489,2.443,7.248
gen_mol1008,3.0,-5.457,1.925,7.085
gen_mol1008,4.0,-5.45,1.902,2.684
gen_mol1008,5.0,-5.401,2.719,7.993
gen_mol1008,6.0,-5.301,1.999,3.068
gen_mol1008,7.0,-5.289,2.484,6.973
gen_mol1008,8.0,-5.282,2.158,5.185
gen_mol1008,9.0,-5.256,5.346,8.214
gen_mol1009,1.0,-6.262,0.0,0.0
gen_mol1009,2.0,-5.912,3.311,7.83
gen_mol1009,3.0,-5.908,1.097,1.642
gen_mol1009,4.0,-5.612,1.458,2.045
gen_mol1009,5.0,-5.559,1.896,6.992
gen_mol1009,6.0,-5.488,1.985,6.381
gen_mol1009,7.0,-5.461,1.91,6.925
gen_mol1009,8.0,-5.397,2.242,4.717
gen_mol1009,9.0,-5.309,4.111,7.534
gen_mol100,1.0,-6.332,0.0,0.0
gen_mol100,2.0,-5.934,2.188,7.141
gen_mol100,3.0,-5.92,1.404,6.633
gen_mol100,4.0,-5.858,1.331,3.179
gen_mol100,5.0,-5.817,2.11,6.872
gen_mol100,6.0,-5.758,2.194,4.195
gen_mol100,7.0,-5.754,2.003,4.224
gen_mol100,8.0,-5.612,2.265,5.805
gen_mol100,9.0,-5.609,1.967,3.065
gen_mol1010,1.0,-6.96,0.0,0.0
gen_mol1010,2.0,-6.937,2.165,2.968
gen_mol1010,3.0,-6.827,3.2,7.866
gen_mol1010,4.0,-6.774,3.138,4.16
gen_mol1010,5.0,-6.626,5.48,9.826
gen_mol1010,6.0,-6.625,1.367,2.14
gen_mol1010,7.0,-6.62,2.738,5.247
gen_mol1010,8.0,-6.616,2.542,3.271
gen_mol1010,9.0,-6.545,4.338,8.004
gen_mol1011,1.0,-5.963,0.0,0.0
gen_mol1011,2.0,-5.894,4.576,6.205
gen_mol1011,3.0,-5.851,1.455,1.986
